Country;League;Club;Player Names;Matches_Played;Substitution ;Mins;Goals;xG;xG Per Avg Match;Shots;OnTarget;Shots Per Avg Match;On Target Per Avg Match;Year
Spain;La Liga;(BET);Juanmi Callejon;19;16;1849;11;Haz.62;0.34;48;20;ﬁub.47;1.Mar;2016
Spain;La Liga;(BAR);Antoine Griezmann;36;0;3129;16;Kas.86;0.36;88;41;ﬁub.67;Oca.24;2016
Spain;La Liga;(ATL);Luis Suarez;34;1;2940;28;23.21;0.75;120;57;Mar.88;Oca.84;2016
Spain;La Liga;(CAR);Ruben Castro;32;3;2842;13;14.Haz;0.47;117;42;Mar.91;1.Nis;2016
Spain;La Liga;(VAL);Kevin Gameiro;21;10;1745;13;Eki.65;0.58;50;23;ﬁub.72;Oca.25;2016
Spain;La Liga;(JUV);Cristiano Ronaldo;29;0;2634;25;24.68;0.89;162;60;May.84;ﬁub.16;2016
Spain;La Liga;(RMA);Karim Benzema;23;6;1967;11;13.25;0.64;69;34;Mar.33;Oca.64;2016
Spain;La Liga;(PSG);Neymar ;30;0;2694;13;13.33;0.47;105;42;3.Tem;Oca.48;2016
Spain;La Liga;(CEL);Iago Aspas;25;7;2354;19;13.88;0.56;78;37;Mar.15;Oca.49;2016
Spain;La Liga;(EIB);Sergi Enrich;31;7;2904;11;Au.25;0.27;64;26;2.Eyl;0.85;2016
Spain;La Liga;None;Aduriz ;27;5;2480;16;15.92;0.61;85;45;Mar.26;Oca.72;2016
Spain;La Liga;(HUE);Sandro Ramlrez;28;2;2340;14;Tem.14;0.29;93;38;Mar.78;Oca.54;2016
Spain;La Liga;(BAR);Lionel Messi;32;2;2910;37;26.65;0.87;179;76;May.84;ﬁub.48;2016
Spain;La Liga;(VIL);Gerard Moreno;37;0;3361;13;Au.49;0.24;82;32;ﬁub.32;0.9;2016
Spain;La Liga;(JUV);Morata;14;12;1392;15;Eyl.67;0.66;55;30;Mar.75;2.May;2016
Spain;La Liga;(MON);Wissam Ben Yedder;20;11;1735;11;Tem.85;0.43;44;23;ﬁub.41;Oca.26;2016
Spain;La Liga;(SOC);Willian Jose;27;1;2102;12;Au.41;0.38;69;29;3.Ara;Oca.31;2016
Spain;La Liga;Florin;Andone ;32;5;2984;12;Kas.62;0.37;99;42;Mar.15;Oca.34;2016
Spain;La Liga;(SOC);Cedric Bakambu;17;9;1633;10;8.Au;0.47;50;26;ﬁub.91;Oca.51;2016
Spain;La Liga;(RMA);Isco;18;12;1690;10;Mar.91;0.22;32;15;1.Au;0.84;2016
Italy;Serie A;(LIV);Mohamed Salah;29;2;2567;15;Kas.62;0.43;80;50;ﬁub.96;Oca.85;2016
Italy;Serie A;(SAS);Gregoire Defrel;23;6;2054;12;8;0.37;43;28;Oca.99;1.Mar;2016
Italy;Serie A;(LAZ);Ciro Immobile;35;1;3294;22;19.76;0.57;136;98;Mar.92;ﬁub.83;2016
Italy;Serie A;(VER);Nikola Kalinic;26;6;2648;15;15.May;0.54;90;61;Mar.23;ﬁub.19;2016
Italy;Serie A;(NAP);Dries Mertens;28;7;2671;28;21.65;0.77;148;102;May.26;Mar.63;2016
Italy;Serie A;(ATA);Alejandro Gomez;37;0;3247;16;Kas.62;0.34;117;75;Mar.42;ﬁub.19;2016
Italy;Serie A;(FIO);Jose CallejOn;37;0;3276;14;Kas.38;0.33;86;57;ﬁub.49;Oca.65;2016
Italy;Serie A;(BEN);Iago Falque;31;4;2633;12;8.Nis;0.29;65;42;ﬁub.35;Oca.52;2016
Italy;Serie A;(CAG);Giovanni Simeone;29;6;2764;12;Ara.22;0.42;76;35;ﬁub.61;1.ﬁub;2016
Italy;Serie A;(PSG);Mauro Icardi;34;0;3188;24;19.13;0.57;109;52;Mar.25;Oca.55;2016
Italy;Serie A;(CRZ);Diego Falcinelli;35;1;3308;13;Kas.49;0.33;99;65;ﬁub.84;Oca.87;2016
Italy;Serie A;Cyril;Cyril Thereau;31;2;2585;12;Eyl.25;0.34;70;48;ﬁub.57;Oca.76;2016
Italy;Serie A;(ROM);Edin Dzeko;33;4;3194;29;30.Haz;0.91;178;99;May.29;ﬁub.94;2016
Italy;Serie A;(NAP);Lorenzo Insigne;35;2;3031;18;13.Au;0.41;147;81;Nis.61;ﬁub.54;2016
Italy;Serie A;(SAM);Fabio Quagliarella;35;2;3030;12;13.71;0.43;112;70;Mar.51;ﬁub.19;2016
Italy;Serie A;Marco;Borriello ;30;6;2737;16;Tem.78;0.27;81;51;ﬁub.81;Oca.77;2016
Italy;Serie A;(VIL);Carlos Bacca;26;6;2228;13;14.Tem;0.6;56;39;ﬁub.39;Oca.66;2016
Italy;Serie A;(IMI);Gonzalo Higuain;32;6;3138;24;17.84;0.54;134;91;4.Haz;ﬁub.75;2016
Italy;Serie A;(SAM);Keita Balde;21;10;2033;16;7.Tem;0.36;70;48;Mar.27;ﬁub.24;2016
Italy;Serie A;(TOR);Andrea Belotti;34;1;3241;26;19.45;0.57;130;78;Mar.81;ﬁub.29;2016
Germany;Bundesliga;(HKI);Fin Bartels;23;8;2315;8;Haz.34;0.26;42;29;Oca.72;Oca.19;2016
Germany;Bundesliga;(BMG);Lars Stindl;29;1;2673;11;Au.44;0.3;68;50;ﬁub.42;Oca.78;2016
Germany;Bundesliga;(BAY);Serge Gnabry;23;4;2028;11;May.76;0.27;62;33;2.Eyl;Oca.55;2016
Germany;Bundesliga;Sandro;Wagner ;30;1;2695;11;12.ﬁub;0.43;65;35;ﬁub.29;Oca.23;2016
Germany;Bundesliga;(HOF);Andrej Kramaric;28;6;2449;15;13.41;0.52;99;60;Mar.84;ﬁub.33;2016
Germany;Bundesliga;(FCA);Florian Niederlechner;29;5;2477;11;Eki.69;0.41;79;56;3.Mar;ﬁub.15;2016
Germany;Bundesliga;(BAY);Robert Lewandowski;31;2;2871;30;30.52;1.Oca;143;86;Nis.73;ﬁub.85;2016
Germany;Bundesliga;(RBL);Emil Forsberg;27;3;2420;8;May.86;0.23;49;32;Oca.92;Oca.26;2016
Germany;Bundesliga;(CHE);Timo Werner;28;3;2496;21;Ara.61;0.48;74;50;ﬁub.82;1.Eyl;2016
Germany;Bundesliga;(SCF);Nils Petersen;7;26;1351;10;Eyl.24;0.65;52;33;Mar.66;ﬁub.32;2016
Germany;Bundesliga;(SCH);Vedad Ibisevic;32;0;2772;12;Ara.84;0.44;72;46;ﬁub.47;Oca.58;2016
Germany;Bundesliga;None;Mario Gomez;32;1;2950;16;18.32;0.59;84;45;ﬁub.71;Oca.45;2016
Germany;Bundesliga;(WOB);Maximilian Philipp;23;2;2000;9;6.Kas;0.29;53;34;ﬁub.52;Oca.62;2016
Germany;Bundesliga;(MAI);A¬Ådam Szalai;7;15;833;8;Mar.95;0.45;18;15;2.May;Oca.71;2016
Germany;Bundesliga;(ARS);Pierre-Emerick Aubameyang;31;1;2894;31;28.94;0.95;116;78;Mar.81;ﬁub.56;2016
Germany;Bundesliga;(STP);Guido Burgstaller;17;1;1494;9;Au.18;0.52;45;24;ﬁub.86;Oca.53;2016
Germany;Bundesliga;(UNB);Max Kruse;23;0;2121;15;Au.48;0.38;41;28;Oca.84;Oca.25;2016
Germany;Bundesliga;(LAG);Chicharito ;20;6;1895;11;Kas.57;0.58;52;30;ﬁub.61;1.May;2016
Germany;Bundesliga;(KOL);Anthony Modeste;34;0;3075;25;19.74;0.61;101;53;3.Ara;Oca.64;2016
Germany;Bundesliga;(GRO);Arjen Robben;21;5;1882;13;Nis.95;0.25;83;52;Nis.19;ﬁub.62;2016
England;Premier League;(INT);Alexis Sanchez;36;2;3385;24;19.24;0.54;129;49;Mar.62;Oca.38;2016
England;Premier League;(INT);Romelu Lukaku;36;1;3448;25;18.15;0.5;110;53;3.Mar;Oca.46;2016
England;Premier League;(TOT);Harry Kane;29;1;2636;29;18.87;0.68;110;58;Mar.96;2.Eyl;2016
England;Premier League;(LEI);Jamie Vardy;33;2;2938;13;Eyl.28;0.3;54;26;Oca.75;0.84;2016
England;Premier League;(CRY);Christian Benteke;36;0;3299;15;18.Nis;0.53;105;38;3.ﬁub;1.Eyl;2016
England;Premier League;(ROM);Pedro None;26;9;2250;10;May.68;0.24;59;17;ﬁub.49;0.72;2016
England;Premier League;(RMA);Eden Hazard;36;0;3101;16;11.Oca;0.34;77;32;ﬁub.36;0.98;2016
England;Premier League;(LIV);Roberto Firmino;34;1;3228;11;Eki.87;0.32;104;43;3.Haz;Oca.27;2016
England;Premier League;(LIV);Sadio Mane;26;1;2347;13;Eyl.14;0.37;58;24;ﬁub.35;0.97;2016
England;Premier League;(BAR);Philippe Coutinho;28;3;2327;13;Eyl.31;0.38;107;36;Nis.37;Oca.47;2016
England;Premier League;(ATL);Diego Costa;35;0;3232;20;16.67;0.49;111;41;Mar.26;Oca.21;2016
England;Premier League;(TOT);Dele Alli;35;2;3182;18;15.Tem;0.45;95;43;ﬁub.84;Oca.28;2016
England;Premier League;(MNC);Sergio Aguero;25;6;2444;21;22.38;0.87;139;51;5.Nis;Oca.98;2016
England;Premier League;(RAN);Jermain Defoe;37;0;3511;15;15.52;0.42;99;31;ﬁub.68;0.84;2016
England;Premier League;(NAP);Fernando Llorente;28;5;2562;15;Au.36;0.31;52;25;Oca.93;0.93;2016
England;Premier League;(WHU);Michail Antonio;29;0;2493;11;Eyl.71;0.37;79;25;3.Oca;0.95;2016
England;Premier League;(ACM);Zlatan Ibrahimovic;27;1;2578;17;15.74;0.58;115;45;Nis.24;Oca.66;2016
England;Premier League;(CHE);Olivier Giroud;11;18;1311;12;6.Eyl;0.5;39;20;ﬁub.83;Oca.45;2016
England;Premier League;(TOT);Son Heung-Min;23;11;2174;14;Tem.32;0.32;80;33;3.May;Oca.44;2016
England;Premier League;(BOU);Joshua King;31;5;2856;16;Eki.82;0.36;67;29;ﬁub.23;0.96;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(GRE);Diego Souza;34;0;2981;14;Eki.67;0.34;86;35;ﬁub.74;1.Ara;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Pablo ;30;3;2757;9;Tem.55;0.26;63;24;ﬁub.17;0.83;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Robinho ;26;4;2234;12;8;0.34;49;22;2.Au;0.94;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Kempes ;19;7;1684;9;May.85;0.33;44;21;ﬁub.48;Oca.18;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(MNC);Gabriel Jesus;26;1;2448;12;11.Au;0.43;75;34;ﬁub.91;Oca.32;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Bruno Rangel ;19;12;2016;10;Au.91;0.42;35;17;Oca.65;0.8;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(CEA);Rogerio ;22;9;2051;9;Haz.69;0.31;81;28;Mar.75;1.Mar;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Vitor Bueno;32;1;2670;10;Eyl.27;0.33;73;30;2.Haz;1.Tem;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAN);Marinho ;27;0;2360;12;Tem.45;0.3;111;34;Nis.47;Oca.37;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Grafite ;29;2;2511;13;14.Oca;0.53;64;34;ﬁub.42;Oca.29;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(HUR);Andres Chavez;19;2;1786;9;Eki.53;0.56;67;32;Mar.56;1.Tem;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(BOT);Cicero Semedo;35;0;3322;9;Eyl.79;0.28;62;27;Oca.77;0.77;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Sassa;13;13;1412;12;Kas.15;0.75;41;25;ﬁub.76;Oca.68;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLA);Giorgian de Arrascaeta;30;1;2423;9;Tem.65;0.3;75;24;ﬁub.94;0.94;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(CAM);Keno ;32;2;3093;10;Haz.19;0.19;73;25;ﬁub.24;0.77;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLU);Fred ;33;1;2821;14;13.66;0.46;63;28;2.Ara;0.94;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Kleber Gladiador;23;1;2143;9;Au.35;0.37;50;23;ﬁub.22;1.ﬁub;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Pottker ;19;12;2007;14;Au.66;0.41;61;25;ﬁub.89;Oca.18;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Jonathan Copete;22;3;2147;10;Au.14;0.36;37;17;Oca.64;0.75;2016
Brazil;Campeonato Brasileiro S√É¬©rie A;(CFC);Ricardo Oliveira;20;0;1834;11;Au.49;0.44;53;25;ﬁub.75;Oca.29;2016
Spain;La Liga;(GET);Angel Rodriguez;26;7;2390;13;Kas.82;0.47;68;31;2.Tem;Oca.23;2017
Spain;La Liga;(BAR);Antoine Griezmann;30;2;2596;19;15.58;0.57;72;40;ﬁub.63;Oca.46;2017
Spain;La Liga;(CEL);Iago Aspas;33;1;3053;22;19.92;0.62;94;43;ﬁub.92;Oca.34;2017
Spain;La Liga;(TOT);Gareth Bale;20;6;1872;16;Ara.81;0.65;77;32;Mar.91;Oca.62;2017
Spain;La Liga;None;Rodrigo None;31;6;2770;16;15.45;0.53;92;38;Mar.16;1.Mar;2017
Spain;La Liga;(ATL);Luis Suarez;32;1;3008;25;25.65;0.81;121;55;Mar.82;Oca.74;2017
Spain;La Liga;(LEV);Sergio Leon;23;8;2071;11;11.Ara;0.51;65;27;ﬁub.98;Oca.24;2017
Spain;La Liga;(BAR);Lionel Messi;32;4;3123;33;32.54;0.99;197;95;May.99;ﬁub.89;2017
Spain;La Liga;(VAL);Maxi Gomez;35;1;3168;18;18.Oca;0.54;83;37;ﬁub.49;1.Kas;2017
Spain;La Liga;(SOC);Mikel Oyarzabal;31;4;2864;12;Eyl.35;0.31;65;32;ﬁub.16;1.Haz;2017
Spain;La Liga;(SOC);Willian Josa;32;2;2869;15;13.89;0.46;89;29;ﬁub.95;0.96;2017
Spain;La Liga;(TOR);Simone Zaza;23;10;2163;13;12.Tem;0.53;73;24;Mar.21;1.May;2017
Spain;La Liga;(JUV);Cristiano Ronaldo;27;0;2375;26;29;Oca.16;178;76;7.Ara;3.Nis;2017
Spain;La Liga;(SOC);Portu ;35;2;3081;11;10.Tem;0.33;49;25;Oca.51;0.77;2017
Spain;La Liga;(VIL);Gerard Moreno;38;0;3555;16;17.96;0.48;105;47;ﬁub.81;Oca.26;2017
Spain;La Liga;(GIR);Cristhian Stuani;32;1;2785;21;20.52;0.7;74;37;ﬁub.52;Oca.26;2017
Spain;La Liga;(VIL);Carlos Bacca;30;5;2572;15;14.35;0.53;73;34;2.Tem;Oca.26;2017
Spain;La Liga;(CEL);Santi Mina;17;15;1630;12;Eyl.44;0.55;43;20;ﬁub.51;Oca.17;2017
Spain;La Liga;(LEV);Morales ;35;0;3180;10;Eki.71;0.32;61;25;Oca.82;0.75;2017
Spain;La Liga;(SEV);Munir ;28;5;2517;10;10.Haz;0.4;62;23;ﬁub.34;0.87;2017
Italy;Serie A;(FIO);Jose Callejon;38;0;3359;10;Eki.25;0.29;64;32;Oca.81;0.91;2017
Italy;Serie A;(LAZ);Sergej Milinkovic-Savic;33;2;3014;12;Haz.66;0.21;91;34;ﬁub.87;1.Tem;2017
Italy;Serie A;(ATA);Duvan Zapata;24;7;2229;11;Eyl.39;0.4;57;22;ﬁub.43;0.94;2017
Italy;Serie A;(JUV);Paulo Dybala;26;7;2407;22;11.Nis;0.45;114;45;4.May;Oca.78;2017
Italy;Serie A;(IMI);Gonzalo Higuain;32;3;2935;16;12.May;0.39;102;40;3.Mar;Oca.29;2017
Italy;Serie A;(BAR);Mirco Antenucci;28;5;2735;11;8.Haz;0.28;65;26;ﬁub.26;0.9;2017
Italy;Serie A;(SAM);Fabio Quagliarella;33;2;2864;19;17.79;0.59;113;46;Mar.75;Oca.53;2017
Italy;Serie A;(LAZ);Luis Alberto;32;2;2797;11;Haz.77;0.23;81;25;ﬁub.75;0.85;2017
Italy;Serie A;(PAR);Roberto Inglese;33;1;2914;12;Eyl.82;0.32;76;37;ﬁub.48;Oca.21;2017
Italy;Serie A;(TOR);Andrea Belotti;29;3;2854;10;Kas.72;0.39;86;28;ﬁub.86;0.93;2017
Italy;Serie A;(ATA);Josip Ilicic;21;10;2115;11;Au.24;0.37;89;36;4;Oca.62;2017
Italy;Serie A;(CAG);Giovanni Simeone;36;2;3157;14;13.29;0.4;107;37;Mar.22;1.Kas;2017
Italy;Serie A;(INT);Ivan Perisic;37;0;3491;11;Eyl.19;0.25;116;38;Mar.16;1.Mar;2017
Italy;Serie A;(ROM);Edin Dzeko;33;3;3177;16;16.39;0.49;152;56;Nis.55;Oca.67;2017
Italy;Serie A;(CAG);Leonardo Pavoletti;31;2;2897;11;Kas.28;0.37;87;34;ﬁub.85;1.Kas;2017
Italy;Serie A;(LAZ);Ciro Immobile;33;0;2799;29;19.15;0.65;110;53;Mar.73;1.Au;2017
Italy;Serie A;(NAP);Dries Mertens;35;3;3133;18;16.16;0.49;128;47;Mar.88;Oca.43;2017
Italy;Serie A;(PSG);Mauro Icardi;34;0;3096;29;23.14;0.71;101;53;3.Oca;Oca.63;2017
Italy;Serie A;(UDI);Kevin Lasagna;26;3;2244;12;Kas.34;0.48;72;31;3.May;Oca.31;2017
Italy;Serie A;(BEN);Iago Falque;34;3;2950;12;9.Oca;0.29;76;22;ﬁub.45;0.71;2017
Germany;Bundesliga;(BAY);Robert Lewandowski;24;6;2247;29;26.49;1.Ara;127;54;May.37;ﬁub.28;2017
Germany;Bundesliga;(SVW);Niclas Fullkrug;26;8;2507;14;Ara.14;0.46;87;33;3.Mar;Oca.25;2017
Germany;Bundesliga;(STP);Guido Burgstaller;24;8;2447;11;Au.24;0.32;55;25;ﬁub.14;0.97;2017
Germany;Bundesliga;(BOT);Salomon Kalou;27;4;2272;12;Eyl.33;0.39;50;23;2.Eyl;0.96;2017
Germany;Bundesliga;(DOR);Thorgan Hazard;33;1;3062;10;Ara.89;0.4;87;33;2.Tem;1.ﬁub;2017
Germany;Bundesliga;(NAN);Jean-Kevin Augustin;14;11;1330;9;Haz.16;0.44;37;18;ﬁub.64;Oca.29;2017
Germany;Bundesliga;(BAY);Serge Gnabry;20;2;1555;10;May.57;0.34;49;23;ﬁub.99;Oca.41;2017
Germany;Bundesliga;(HOF);Andrej Kramaric;22;12;2353;13;Eyl.66;0.39;83;35;Mar.35;Oca.41;2017
Germany;Bundesliga;(SCF);Nils Petersen;24;8;2362;15;Kas.93;0.48;63;24;ﬁub.53;0.97;2017
Germany;Bundesliga;None;Sandro Wagner ;18;7;1666;12;10;0.57;55;26;Mar.14;Oca.48;2017
Germany;Bundesliga;(CHE);Timo Werner;28;4;2596;13;13.39;0.49;95;40;Mar.48;Oca.46;2017
Germany;Bundesliga;(LEV);Leon Bailey;25;5;2317;9;Tem.56;0.31;76;27;3.Ara;1.Kas;2017
Germany;Bundesliga;(VfB);Daniel Didavi;26;4;2312;9;Mar.89;0.16;55;19;ﬁub.26;0.78;2017
Germany;Bundesliga;(FCA);Alfred Finnbogason;22;0;1879;12;11.Au;0.56;51;25;ﬁub.58;Oca.26;2017
Germany;Bundesliga;(SVW);Davie Selke;19;8;1974;10;8.Oca;0.39;47;22;ﬁub.26;1.Haz;2017
Germany;Bundesliga;(SCH);Mark Uth;24;7;2279;14;Eyl.84;0.41;54;21;ﬁub.25;0.88;2017
Germany;Bundesliga;(FCA);Michael Gregoritsch;30;2;2626;13;Eki.78;0.39;92;36;Mar.33;1.Mar;2017
Germany;Bundesliga;(DOR);Julian Brandt;26;8;2419;9;Haz.37;0.25;43;22;Oca.69;0.86;2017
Germany;Bundesliga;(MON);Kevin Volland;30;1;2693;14;Au.79;0.31;55;28;Oca.94;0.99;2017
Germany;Bundesliga;(ARS);Pierre-Emerick Aubameyang;16;0;1480;13;16.36;1.May;58;27;Mar.72;Oca.73;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(OPE);Roger ;19;1;1465;11;Au.64;0.56;47;20;3.May;1.Mar;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(CRU);Arthur Caike;34;0;2824;8;Tem.73;0.26;85;25;ﬁub.86;0.84;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(BEN);Everton ;14;18;1224;8;Eyl.53;0.74;54;30;Nis.19;ﬁub.33;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Hernanes ;19;0;1222;9;May.27;0.41;52;23;4.Nis;Oca.79;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Luiz Fernando;21;7;1792;9;6.Nis;0.32;54;22;ﬁub.86;Oca.17;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(FOR);Wellington Paulista;30;3;2278;9;Eyl.35;0.39;63;30;ﬁub.63;Oca.25;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLU);Fred ;27;2;1865;12;Ara.56;0.64;57;24;2.Eyl;Oca.22;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Santiago Trellez;23;0;1694;10;Tem.67;0.43;53;20;ﬁub.97;1.Ara;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(COR);Jo;34;0;2847;18;16.78;0.56;80;39;ﬁub.67;1.Mar;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(SCR);Thiago Neves;30;3;2383;9;Eki.54;0.42;102;51;4.Tem;2.Mar;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLA);Bruno Henrique;28;0;2136;8;Eki.57;0.47;52;24;ﬁub.31;1.Tem;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Dudu ;23;3;1751;10;Haz.82;0.37;45;23;ﬁub.44;Oca.25;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLA);Diego ;24;3;2089;10;Tem.92;0.36;56;22;ﬁub.55;1;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(GRE);Diego Souza;26;1;1953;11;Kas.72;0.57;74;30;3.Haz;Oca.46;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLU);Lucca ;37;0;2933;13;11.Kas;0.36;96;40;3.Kas;1.Mar;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Henrique Dourado;32;0;2472;19;14.83;0.57;65;37;2.May;Oca.42;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Andre;35;0;2931;16;14.81;0.48;88;34;ﬁub.85;1.Oca;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Edigar Junio ;21;5;1547;12;11.Nis;0.7;49;29;3.Oca;Oca.78;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;None;Junior  Dutra;27;3;2022;9;Eki.43;0.49;75;25;Mar.52;Oca.17;2017
Brazil;Campeonato Brasileiro S√É¬©rie A;(GRE);Luiz Fernando;21;12;1769;9;May.96;0.32;42;16;ﬁub.26;0.86;2017
Spain;La Liga;(RMA);Karim Benzema;35;1;3072;21;17.46;0.54;104;44;Mar.22;Oca.36;2018
Spain;La Liga;(VAL);Maxi Gomez;33;2;3148;13;Ara.92;0.39;82;28;ﬁub.47;0.84;2018
Spain;La Liga;(CEL);Iago Aspas;26;1;2369;20;Ara.47;0.5;69;32;ﬁub.77;Oca.28;2018
Spain;La Liga;(GET);Jaime Mata;27;7;2569;14;Ara.44;0.46;59;25;ﬁub.18;0.92;2018
Spain;La Liga;(BIL);Inaki Williams;36;2;3148;12;13.59;0.41;75;33;ﬁub.26;1;2018
Spain;La Liga;(GIR);Cristhian Stuani;30;2;2897;19;16.47;0.54;77;39;ﬁub.53;Oca.28;2018
Spain;La Liga;(OSA);Chimy Avila;20;14;2131;10;Tem.63;0.34;88;24;Mar.92;1.Tem;2018
Spain;La Liga;(ESP);Raul de Tomas;32;1;2964;14;16.22;0.52;115;47;Mar.69;Oca.51;2018
Spain;La Liga;(ATL);Luis Suarez;31;2;2954;21;24.88;0.8;112;58;3.Haz;Oca.87;2018
Spain;La Liga;(LEV);Roger ;23;8;1999;13;14.Oca;0.67;71;30;Mar.37;Oca.43;2018
Spain;La Liga;(SOC);Willian Jose;28;3;2471;12;11.Tem;0.45;55;26;2.Kas;1;2018
Spain;La Liga;(PSG);Pablo Sarabia;30;3;2877;13;Kas.81;0.39;75;31;ﬁub.48;1.ﬁub;2018
Spain;La Liga;(SOC);Mikel Oyarzabal;36;1;3300;13;11.Ara;0.32;66;28;1.Eyl;0.81;2018
Spain;La Liga;(BAR);Antoine Griezmann;37;0;3349;15;14.45;0.41;113;45;Mar.21;Oca.28;2018
Spain;La Liga;(BET);Borja Iglesias;35;2;3246;17;16.Nis;0.48;90;38;ﬁub.63;1.Kas;2018
Spain;La Liga;(BAR);Lionel Messi;29;5;2849;36;25.49;0.85;170;87;May.67;2.Eyl;2018
Spain;La Liga;(GRA);Jorge Molina;28;10;2819;14;Kas.28;0.38;57;23;Oca.92;0.78;2018
Spain;La Liga;None;Charles;17;17;1861;14;13.91;0.71;63;30;Mar.22;Oca.53;2018
Spain;La Liga;(MON);Wissam Ben Yedder;31;4;2975;18;17.22;0.55;76;36;ﬁub.43;Oca.15;2018
Spain;La Liga;(LEV);Morales ;35;2;3381;12;13.52;0.38;65;33;Oca.83;0.93;2018
Italy;Serie A;(NAP);Arkadiusz Milik;27;8;2560;17;12.Nis;0.46;111;51;4.Ara;Oca.89;2018
Italy;Serie A;(ATA);Duvan Zapata;32;5;3064;23;18.38;0.57;118;50;Mar.66;Oca.55;2018
Italy;Serie A;(NAP);Lorenzo Insigne;24;4;2191;10;Eyl.23;0.4;120;37;5.ﬁub;1.Haz;2018
Italy;Serie A;(JUV);Cristiano Ronaldo;30;1;2857;21;21.65;0.72;177;68;May.89;ﬁub.26;2018
Italy;Serie A;(LAZ);Ciro Immobile;31;5;3046;15;15.71;0.49;124;49;Mar.87;Oca.53;2018
Italy;Serie A;(TOR);Andrea Belotti;37;0;3533;15;15.99;0.43;125;47;Mar.36;Oca.26;2018
Italy;Serie A;(SAM);Fabio Quagliarella;37;0;3269;26;23.Haz;0.67;141;57;4.Oca;Oca.66;2018
Italy;Serie A;Mario;Mandzukic None;23;2;2125;9;Haz.49;0.29;31;17;Oca.39;0.76;2018
Italy;Serie A;(ROM);Edin Dzeko;28;5;2741;9;13.56;0.47;131;50;Nis.54;Oca.73;2018
Italy;Serie A;(NAP);Andrea Petagna;35;1;3196;16;Ara.78;0.38;89;41;ﬁub.65;Oca.22;2018
Italy;Serie A;(PAR);Roberto Inglese;23;2;2075;9;Tem.86;0.36;47;21;ﬁub.15;0.96;2018
Italy;Serie A;(ATA);Josip Ilicic;23;8;2262;12;Eyl.29;0.39;101;38;Nis.24;1.Haz;2018
Italy;Serie A;(SAS);Francesco Caputo;38;0;3641;16;16.Oca;0.42;96;43;2.May;1.Ara;2018
Italy;Serie A;(CAG);Leonardo Pavoletti;31;1;2903;16;11;0.36;84;33;ﬁub.75;1.Au;2018
Italy;Serie A;(SAS);Gregoire Defrel;26;10;2388;11;8.Mar;0.33;47;23;Oca.87;0.91;2018
Italy;Serie A;(NAP);Dries Mertens;23;12;2416;16;Eki.43;0.41;89;39;3.May;Oca.53;2018
Italy;Serie A;None;Stephan El Shaarawy;23;5;2213;11;Tem.22;0.31;70;30;3;Oca.29;2018
Italy;Serie A;(PAR);Gervinho ;27;3;2430;11;Haz.91;0.27;44;19;Oca.72;0.74;2018
Italy;Serie A;(PSG);Mauro Icardi;24;5;2314;11;14.86;0.61;73;29;3;Oca.19;2018
